name,producer,href,image_url,description
Blackcurrant Beauty,11,https://www.pukkaherbs.com/nl/nl/products/blackcurrant-beauty,https://images.ctfassets.net/jhcmej8zlqgw/7JHB0aWpVii7tsrEwKoG8c/c1a6afde20eee489faa0198378b712cf/Blackcurrant_beauty_hero_image_new.png?fm=webp&w=400&q=80,"Een blend met rozenbottel, hibiscus, venkelzaad, zoethout en rode biet.Van nature cafeïnevrij, duurzaam verbouwd en 100% biologisch geteeld ingrediënten.Pukka is aangesloten bij 1% for the Planet. Dit product is Fair for Life & Fair Wild gecertificeerd.Breng de heerlijke kruiden tot leven door ze tot 15 minuten in vers gekookt water te laten trekken.Een doosje bevat 20 individueel verpakte theezakjes die volledig biologisch afbreekbaar zijn."
Turmeric Active,11,https://www.pukkaherbs.com/nl/nl/products/turmeric-active,https://images.ctfassets.net/jhcmej8zlqgw/1jxzCriSalY3uB5SGpYKUg/41bc1d47303c5ae8fc9e677c5ef0e9ed/Turmeric_active_hero_.2.png?fm=webp&w=400&q=80,"Ondersteun je actieve levensstijl met onze Turmeric Active thee. Vakkundig gemengd met verjongende kruiden, kurkuma, gember en galanga, houdt ons krachtige mengsel je de hele dag sprankelend. Gecreëerd door kruidenkenners en voedingsdeskundigen, combineert onze Turmeric Active thee de nieuwste wetenschappelijke inzichten met traditionele kruidenwijsheid om je lichaam op natuurlijke wijze te ondersteunen. 
Elke composteerbare theezakje zit boordevol essentiële oliën en de hoogste kwaliteit biologische kruiden, speciaal geselecteerd vanwege hun revitaliserende eigenschappen.Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
Three Fennel,11,https://www.pukkaherbs.com/nl/nl/products/three-fennel,https://images.ctfassets.net/jhcmej8zlqgw/4FOEW4L3dP4ZcgnCyl2sBz/f86b29e086e742958a9412d4a28cb99a/three_fennel_hero_new.2.png?fm=webp&w=400&q=80,"Geniet van een pure blend met venkelzaad, wilde venkel en venkelblad.Van nature cafeïnevrij, duurzaam verbouwd en 100% biologisch geteeld ingrediënten.Pukka is aangesloten bij 1% for the Planet. Dit product is Fair for Life & Fair Wild gecertificeerd.Breng de heerlijke kruiden tot leven door ze tot 15 minuten in vers gekookt water te laten trekken.Een doosje bevat 20 individueel verpakte theezakjes die volledig biologisch afbreekbaar zijn."
Cleanse,11,https://www.pukkaherbs.com/nl/nl/products/cleanse,https://images.ctfassets.net/jhcmej8zlqgw/1bmMtUJ0tKlil1WpH8Y56c/f9a5b82ccb15ae0fe55106f5595e8dad/19426_68714799_850835000498_Cleanse_UK_Nord_Trafford___Kato_Carton_Hero_Image.png?fm=webp&w=400&q=80,"Een blend met venkel, brandnetel en pepermunt.Van nature cafeïnevrij, duurzaam verbouwd en 100% biologisch geteeld ingrediënten.Pukka is aangesloten bij 1% for the Planet. Dit product is Fair for Life & Fair Wild gecertificeerd.Breng de heerlijke kruiden tot leven door ze tot 15 minuten in vers gekookt water te laten trekken.Een doosje bevat 20 individueel verpakte theezakjes die volledig biologisch afbreekbaar zijn."
Night Time,11,https://www.pukkaherbs.com/nl/nl/products/night-time,https://images.ctfassets.net/jhcmej8zlqgw/6GJReEYARPb9o5toq6QWSn/e64955167e630e2b8a9394f4506a076a/Night_time_tea_Hero_image.2.png?fm=webp&w=400&q=80,"Een blend met haverbloem, verzachtende lavendel en zijdezachte lindebloesem.Van nature cafeïnevrij , duurzaam verbouwd en 100% biologisch geteelde ingrediënten.Pukka is aangesloten bij 1% for the Planet. Dit product is Fair for Life & Fair Wild gecertificeerd.Breng de heerlijke kruiden tot leven door ze tot 15 minuten in vers gekookt water te laten trekken.Een doosje bevat 20 individueel verpakte theezakjes die volledig biologisch afbreekbaar zijn"
Lean Matcha Green,11,https://www.pukkaherbs.com/nl/nl/products/lean-matcha-green,https://images.ctfassets.net/jhcmej8zlqgw/5zow1Ssabkh9g4298iXZ3v/bd44fa0517fcc4d296c5686e10dd4ddd/5013_2019_Hero_Images_-removebg-preview.png?fm=webp&w=400&q=80,"Laat jouw innerlijke vlam te ontwaken met deze heerlijke blend met kaneel, gember en venkel voor een krachtige boos..Duurzaam verbouwde, 100% biologisch geteelde ingrediënten.Pukka is aangesloten bij 1% for the Planet. Dit product is Fair for Life & Fair Wild gecertificeerd.Breng de heerlijke kruiden tot leven door ze tot 15 minuten in vers gekookt water te laten trekken.Een doosje bevat 20 individueel verpakte theezakjes die volledig biologisch afbreekbaar zijn."
Ginseng Matcha Green,11,https://www.pukkaherbs.com/nl/nl/products/ginseng-matcha-green,https://images.ctfassets.net/jhcmej8zlqgw/5P2NCgMxP5mPGoLsUPvG5V/0b5475bb549189962567be36197430d3/Ginseng_matcha_green_hero_UK.png?fm=webp&w=400&q=80,"Voel je gevoed met onze vakkundig samengestelde Ginseng Matcha Green-thee. Onze opwekkende blend is een synergetische combinatie van de verfrissende smaken van groene thee en matcha, de citrustwist van citroengras en ginseng, en de warmte van pittige gember. Zowel matcha als groene thee zorgen natuurlijk voor je lichaam, houden je vitaliteit in stand, terwijl de opbeurende eigenschappen van citroengras en ginseng een sprankeling aan je dag toevoegen en je scherp houden. Gember is toegevoegd vanwege zijn verwarmende en stimulerende effecten die helpen bij het opbouwen van het spijsverteringsvuur.Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
Lemongrass & Ginger,11,https://www.pukkaherbs.com/nl/nl/products/lemongrass-and-ginger,https://images.ctfassets.net/jhcmej8zlqgw/307v0XMpPktZic4tMLoO3w/50c51bb06d3b618c62434d68663247ef/lemongrass_and_ginger_hero.png?fm=webp&w=400&q=80,"Goed nieuws om je dag op te vrolijken en te verfrissen. Gemaakt met biologische gember, citroenverbena, citroengras en zoethoutwortel.
Een slok en je bent klaar om op te stijgen, zweef mee in een wervelwind van citroenfrisheid. Echte rijkdom zit van binnen. Het kostbaarste dat het leven te bieden heeft, wacht hier op je om van te genieten; een pittige werveling van de fijnste citroengras en de kruidige opkikker van gember; laat ze samen trekken en neem een slok om je dag op te vrolijken en te verfrissen.Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
Gorgeous Earl Grey,11,https://www.pukkaherbs.com/nl/nl/products/gorgeous-earl-grey,https://images.ctfassets.net/jhcmej8zlqgw/26GiWvfm6F7ON04GTFrR3x/6801ed5755499d284b67dcf970a64dea/Earl_grey_hero_image_UK.png?fm=webp&w=400&q=80,"Afkomstig van enkele van 's werelds meest uitzonderlijke biologische theelandgoederen, hebben onze experts een Earl Grey-blend samengesteld met een twist. Geniet van de klassieke bergamot en lavendelhints, met een citrusachtige citroenafdronk, terwijl we de biologische zwarte thee uit India en Oost-Afrika vieren. Trakteer jezelf op een bijzondere ervaring met zwarte thee zoals geen ander en proef de kwaliteit van Pukka.Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
Herbal Collection,11,https://www.pukkaherbs.com/nl/nl/products/herbal-collection,https://images.ctfassets.net/jhcmej8zlqgw/1jbyFDUFSGFyHMJwSR9uGb/b7d05b3b03e43ec484193da09876dcf7/19423_68687780_5060229012371_Herbal_Collection_UK_Nord_Trafford_Carton_Hero_Image.png?fm=webp&w=400&q=80,"Van nature cafeïnevrij, duurzaam verbouwd en 100% biologisch geteeld ingrediënten.Pukka is aangesloten bij 1% for the Planet. Dit product is Fair for Life & Fair Wild gecertificeerd.Breng de heerlijke kruiden tot leven door ze tot 15 minuten in vers gekookt water te laten trekken.Een doosje bevat 20 individueel verpakte theezakjes die volledig biologisch afbreekbaar zijn."
